Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
10878011149,"3 Mar 2024, 01:32:02",Night Run,Run,,4925,12.50,,,false,,,activities/10878011149.gpx,,,4925.0,4848.0,12505.2,4.72,2.579,73.1,82.2,136.5,161.7,15.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,12622.1,1709427584.0,3.0,5.0,4.2,3.4,0.89,1021.0,0.8,2.1,45.0,0.0,1709380352.0,1709420928.0,0.625,,,0.0,1.0,0.88,10162.0,0.0,,,,,0.0,2.539,241.9,,,,12412.0,,,,,,,,,,,,,""
10884752507,"3 Mar 2024, 21:21:23",Afternoon Run,Run,,2075,5.28,,,false,,,activities/10884752507.gpx,,,2075.0,1819.0,5282.2,10.542,2.904,6.1,4.9,76.1,80.3,3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5292.1,1709499648.0,3.0,6.4,3.4,4.1,0.86,1022.7,4.2,7.1,74.0,0.0,1709466624.0,1709507456.0,0.75,,,0.0,1.0,0.88,5453.0,1.0,,,,,0.0,2.546,3.8,,,,4826.0,,,,,,,,,,,,,""
10884804119,"3 Mar 2024, 21:21:48",Afternoon Run,Run,,2303,5.06,183.0,86,false,,,activities/11634615019.tcx.gz,,,2303.0,1803.0,5060.7,5.436,2.807,4.1,2.9,76.1,80.3,16.4,0.0,,,,,,170.0,,,429.0,,,86.0,,,,,,,,,,,,,0.0,,1.0,5069.5,1709499648.0,3.0,6.4,3.4,4.1,0.86,1022.7,4.2,7.1,74.0,0.0,1709466624.0,1709507456.0,0.75,,,0.0,1.0,0.88,5453.0,1.0,,,,,0.0,2.197,5.3,,,,,,,,,,,,,,,,,""
10906501017,"6 Mar 2024, 00:19:06",Evening Run,Run,,898,3.87,,,false,,,activities/10906501017.gpx,,,898.0,818.0,3872.7,32.057,4.734,4.3,4.3,175.8,180.6,5.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3885.9,1709683200.0,5.0,9.4,8.3,7.3,0.87,1012.4,2.3,4.1,17.0,0.4,1709639296.0,1709680384.0,0.875,,,0.6,5.0,0.99,15188.0,0.0,,,,,2.0,4.313,0.0,,,,234.0,,,,,,,,,,,,,""
10906613099,"7 Mar 2024, 00:06:23",Evening Run,Run,,1603,3.85,,,false,,,activities/10906613099.gpx,,,1603.0,1497.0,3854.6,5.354,2.575,30.2,27.4,150.0,156.7,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3888.6,1709769600.0,3.0,6.5,3.2,2.6,0.76,1018.3,4.9,10.0,18.0,0.0,1709725568.0,1709766912.0,0.875,,,0.0,1.0,0.99,26140.0,0.0,,,,,0.0,2.405,0.0,,,,3580.0,,,,,,,,,,,,,""
10933012035,"10 Mar 2024, 20:17:50",Afternoon Run,Run,,1897,4.93,,,false,,,activities/10933012035.gpx,,,1897.0,1851.0,4937.4,3.907,2.667,8.6,6.0,76.6,80.3,2.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4946.7,1710100736.0,8.0,-0.5,-7.1,-6.8,0.62,1003.0,8.2,14.4,317.0,0.0,1710070656.0,1710112768.0,0.0,,,0.0,1.0,0.97,27885.0,1.0,,,,,0.0,2.603,0.0,,,,4990.0,,,,,,,,,,,,,""
10982387190,"17 Mar 2024, 20:21:19",Afternoon Run,Run,,2395,5.64,,,false,,,activities/10982387190.gpx,,,2395.0,2116.0,5641.3,4.782,2.666,15.0,13.8,76.6,84.6,6.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5668.3,1710705664.0,3.0,5.1,0.8,-2.3,0.59,1003.6,6.7,10.9,287.0,0.0,1710674816.0,1710718080.0,0.25,,,0.0,1.0,0.69,21151.0,2.0,,,,,0.0,2.355,15.9,,,,5506.0,,,,,,,,,,,,,""
11001886556,"20 Mar 2024, 10:29:40",Afternoon Run,Run,,1236,2.62,,,false,,,activities/11001886556.gpx,,,1236.0,1142.0,2626.0,4.102,2.3,14.7,13.6,136.5,151.7,15.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2646.1,1710928768.0,3.0,-0.2,-3.3,-3.7,0.78,1002.9,2.5,8.0,287.0,0.0,1710933632.0,1710977536.0,0.375,,,0.0,1.0,0.68,21210.0,0.0,,,,,0.0,2.125,285.4,,,,2738.0,,,,,,,,,,,,,""
11031145315,"24 Mar 2024, 19:34:57",Afternoon Run,Run,,2084,5.39,,,false,,,activities/11031145315.gpx,,,2084.0,1898.0,5393.0,4.99,2.841,6.1,5.0,76.0,80.2,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5402.2,1711306752.0,1.0,1.2,-1.4,-8.4,0.49,1029.5,2.3,3.6,128.0,0.0,1711278848.0,1711323392.0,0.375,,,0.0,1.0,0.04,34490.0,4.0,,,,,0.0,2.588,9.0,,,,5086.0,,,,,,,,,,,,,""
11031186693,"24 Mar 2024, 19:35:15",Afternoon Run,Run,,2075,5.20,187.0,91,false,,,activities/11791988501.tcx.gz,,,2075.0,1884.0,5200.9,3.422,2.761,4.1,2.9,76.0,80.2,35.7,0.0,,,,,,170.0,,,404.0,,,91.0,,,,,,,,,,,,,0.0,,1.0,5212.2,1711306752.0,1.0,1.2,-1.4,-8.4,0.49,1029.5,2.3,3.6,128.0,0.0,1711278848.0,1711323392.0,0.375,,,0.0,1.0,0.04,34490.0,4.0,,,,,0.0,2.506,5.6,,,,,,,,,,,,,,,,,""
